web-scraper-order;name;transp_name;max_weight;Volume;order_link;;;distance;adr_start;adr_end;date_start;duration;price;order_num;order_name;order_info;fuel_av_100;;date_start
1715029300-59;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Угловой диван;;;25;1-я Ватутинская;105;09.08.2019;4;3790;№ 1369708; Перевозка мебели ;"Груз : Угловой диван 
                                        Дата перевозки:  10.08
					Время перевозки:  11:00
                    Категория: Мебель и бытовая техника
                    Вес: 50 кг
                    Д; Ш; В : 250 см; 160 см; 90 см;
					Объем:  3.6 м3";11,66154496;;09.08.2019
1715029326-60;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Квартирный переезд;;;4;Москва;Красноказарменная 14А;10.08.2019;4;2500;№ 1369980; Заказать авто для квартирного переезда;"Дата перевозки:  10.08
					Время перевозки:  17:00

										Общий объем:  3.52 м3
					Общий вес:  126 кг
                    Категория: Переезд";8,853772815;;10.08.2019
1715029351-61;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Мебель переезд;;;103;Москва;Обнинск;10.08.2019;4;3180;№ 1370072; Квартирный переезд;"Дата перевозки:  10.08
					Время перевозки:  с 12:30 по 13:30

										Общий объем:  2.25 м3
					Общий вес:  50 кг
                    Категория: Переезд";10,70872366;;10.08.2019
1715029377-62;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Диван 2-местный;;;3;Москва;Москва;10.08.2019;3;2138;№ 1370120; Заказать автомобиль для доставки личныx вещей ;"Груз : Диван 2-местный 
                                        Дата перевозки:  10.08
					Время перевозки:  с 18:00 по 22:00
                    Категория: Мебель и бытовая техника
                    Вес: 28 кг
                    Д; Ш; В : 163 см; 90 см; 80 см;
					Объем:  1.17 м3";11,19430557;;10.08.2019
1715029396-63;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Квартирный переезд;;;28;Москва;Москва;10.08.2019;5;4344;№ 1370209; Квартирный переезд;"Дата перевозки:  11.08
					Время перевозки:  с 07:00 по 12:00

										Общий объем:  3.51 м3
					Общий вес:  216 кг
                    Категория: Переезд";12,2950896;;10.08.2019
1715029414-64;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Матрас односпальный, Матрас двуспальный, Средние коробки, Стиральная машина, Сумки с личными вещами, Телевизор, Тумба под телевизор, Коробки и сумки с вещами;;;12;мкр. Климовск;Подольск;12.08.2019;2,5;3524;№ 1370613; Транспортировка вещей ;"Груз № 1: Матрас односпальный 
                                        Дата перевозки:  12.08
					Время перевозки:  с 18:00 по 22:00
                    Категория: Мебель и бытовая техника
                    Вес: 10 кг
                    Д; Ш; В : 200 см; 90 см; 20 см;
					Объем:  0.36 м3";9,241691869;;12.08.2019
1715029440-65;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Квартирный переезд;;;8;Москва;Москва;13.08.2019;5;3189;№ 1371134; Переезд под ключ;"Дата перевозки:  15.08
					Время перевозки:  с 07:00 по 12:00

										Общий объем:  2.66 м3
					Общий вес:  38 кг
                    Категория: Переезд";10,10704685;;13.08.2019
1715029457-66;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Матрас двуспальный;;;3;Москва;Москва;17.08.2019;3;1200;№ 1371498; Заказ отдельной газели для перевозки мебели ;"Груз : Матрас двуспальный 
                                        Дата перевозки:  17.08
					Время перевозки:  с 07:00 по 12:00
                    Категория: Мебель и бытовая техника
                    Вес: 30 кг
                    Д; Ш; В : 200 см; 180 см; 20 см;
					Объем:  0.72 м3";10,84141493;;17.08.2019
1715029476-67;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Матрас односпальный;;;3;Москва;Москва;15.08.2019;3;1129;№ 1372499; Заказать авто для отправки мебели ;"Груз : Матрас односпальный 
                                        Дата перевозки:  15.08
					Время перевозки:  с 19:30 по 20:30
                    Категория: Мебель и бытовая техника
                    Вес: 5 кг
                    Д; Ш; В : 200 см; 90 см; 20 см;
					Объем:  0.36 м3";11,35377267;;15.08.2019
1715029495-68;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Перевозка баулов 10 шт;;;14;Москва;136;15.08.2019;3;1520;№ 1372505; Транспортировка личныx вещей ;"Груз : Перевозка баулов 10 шт 
                                        Дата перевозки:  15.08
					Время перевозки:  23:30
                    Категория: Мебель и бытовая техника
                    Вес: 20 кг
                    Д; Ш; В : 100 см; 70 см; 40 см;
					Объем:  0.28 м3";10,2919703;;15.08.2019
1715029514-69;03golkin03;Citroen Jumper 35MH 2.8 HDi (128);1;Шасси;Матрас двуспальный;;;60;Москва;Электросталь;16.08.2019;5;2567;№ 1373331; Отправить Матрас двуспальный;"Груз : Матрас двуспальный 
                                        Дата перевозки:  18.08
					Время перевозки:  с 18:00 по 22:00
                    Категория: Мебель и бытовая техника
                    Вес: 15 кг
                    Д; Ш; В : 200 см; 160 см; 20 см;
					Объем:  0.64 м3";10,48630785;;16.08.2019
